epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,2294.8,0.77487,0.96267,1.22375,0.95122,0.9875,0.96706,0.6377,0.87532,0.92071,1.21659,0.000290863,0.000290863,0.000290863
171,2308.75,0.7565,0.96026,1.18002,0.94924,0.98437,0.96769,0.64415,0.86583,0.92376,1.21252,0.000289625,0.000289625,0.000289625
172,2322.14,0.75986,0.94069,1.20575,0.95075,0.98046,0.9753,0.65547,0.87582,0.93405,1.20609,0.000288388,0.000288388,0.000288388
173,2335.38,0.75912,0.94958,1.20397,0.94979,0.9787,0.9684,0.65592,0.84932,0.92714,1.18865,0.00028715,0.00028715,0.00028715
174,2348.86,0.76793,0.94412,1.21143,0.95489,0.97321,0.97026,0.64821,0.84003,0.93773,1.20251,0.000285913,0.000285913,0.000285913
175,2362.14,0.75367,0.93834,1.18777,0.95321,0.98164,0.97439,0.65758,0.86301,0.91672,1.21122,0.000284675,0.000284675,0.000284675
176,2375.6,0.74478,0.9422,1.19516,0.95008,0.98043,0.9795,0.64425,0.879,0.92338,1.20821,0.000283437,0.000283437,0.000283437
177,2389.09,0.75823,0.95425,1.22169,0.95264,0.9755,0.98182,0.65921,0.87943,0.90965,1.21248,0.0002822,0.0002822,0.0002822
178,2402.5,0.7775,1.00532,1.2147,0.94211,0.98074,0.98086,0.65456,0.87112,0.92339,1.21663,0.000280963,0.000280963,0.000280963
179,2415.94,0.75718,0.95964,1.21391,0.94715,0.98643,0.98395,0.65225,0.85946,0.9861,1.20865,0.000279725,0.000279725,0.000279725
180,2429.85,0.77922,0.94936,1.21909,0.9577,0.9875,0.98383,0.64506,0.86966,0.98317,1.219,0.000278488,0.000278488,0.000278488
